id,Run,Filtered,lane,mid,number_of_groups_analyzed,number_of_raw_groups,number_of_contaminations,a_to__,a_to_c,a_to_g,a_to_t,c_to_a,c_to__,c_to_g,c_to_t,g_to_a,g_to_c,g_to__,g_to_t,t_to_a,t_to_c,t_to_g,t_to__,__to_a,__to_c,__to_g,__to_t,other_,hetero_a_to__,hetero_a_to_c,hetero_a_to_g,hetero_a_to_t,hetero_c_to_a,hetero_c_to__,hetero_c_to_g,hetero_c_to_t,hetero_g_to_a,hetero_g_to_c,hetero_g_to__,hetero_g_to_t,hetero_t_to_a,hetero_t_to_c,hetero_t_to_g,hetero_t_to__,hetero___to_a,hetero___to_c,hetero___to_g,hetero___to_t,hetero_other_
1,2017-05-07,No,1,1,0,678,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017-05-07,No,1,3,0,140,0,0,0,1,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017-05-07,No,1,4,0,273,0,0,0,0,1,0,0,0,2,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017-05-07,No,1,5,0,734,0,0,0,2,0,1,0,0,7,7,0,0,0,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,182,0,0,0,0,0,0,0,0
5,2017-05-07,No,1,6,0,1000,0,0,0,3,0,1,0,0,7,8,0,0,2,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,216,0,0,0,0,0,0,0,0
6,2017-05-07,No,1,7,0,1044,0,0,1,0,21,0,0,0,7,13,0,0,1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017-05-07,No,1,10,0,378,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017-05-07,No,1,13,0,462,0,0,0,2,0,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017-05-07,No,1,14,0,156,0,0,0,0,2,0,0,0,1,2,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017-05-07,No,1,15,0,211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0
11,2017-05-07,No,1,16,0,413,0,0,0,16,1,0,0,0,8,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
12,2017-05-07,No,1,17,0,155,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017-05-07,No,2,1,0,575,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017-05-07,No,2,3,0,220,0,0,0,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017-05-07,No,2,4,0,594,0,0,0,1,0,1,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2017-05-07,No,2,5,0,502,0,0,0,1,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2017-05-07,No,2,6,0,394,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2017-05-07,No,2,7,0,382,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2017-05-07,No,2,10,0,628,0,0,0,1,0,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2017-05-07,No,2,13,0,308,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2017-05-07,No,2,14,0,238,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2017-05-07,No,2,15,0,376,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0
23,2017-05-07,No,2,16,0,490,0,0,0,3,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2017-05-07,No,2,17,0,306,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2017-05-07,No,3,1,0,507,0,0,0,0,9,0,0,0,2,1,0,0,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2017-05-07,No,3,3,0,315,0,0,0,2,2,0,0,0,1,1,0,0,9,1,2,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2017-05-07,No,3,4,0,486,0,0,0,0,2,1,0,0,5,2,1,0,2,1,4,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,22,21,0,0,0,0,0,0,0,0
28,2017-05-07,No,3,5,0,346,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2017-05-07,No,3,6,0,445,0,0,0,1,0,1,0,0,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2017-05-07,No,3,7,0,454,0,0,0,1,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2017-05-07,No,3,10,0,287,0,0,0,3,4,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2017-05-07,No,3,13,0,391,0,0,0,0,4,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0
33,2017-05-07,No,3,14,0,449,0,0,0,0,4,0,0,0,1,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2017-05-07,No,3,15,0,337,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2017-05-07,No,3,16,0,394,0,0,0,1,2,1,0,0,2,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2017-05-07,No,3,17,0,426,0,0,0,2,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0
37,2017-05-07,No,4,1,0,464,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
